,date,rainfall,raindays,temp,rh
0,2014-01-01,75.4,5,26.2,78.5
1,2014-02-01,0.2,1,27.2,74.5
2,2014-03-01,66.0,6,27.9,76.0
3,2014-04-01,110.0,17,28.2,80.0
4,2014-05-01,125.8,18,28.6,80.2
5,2014-06-01,71.4,11,29.0,77.5
6,2014-07-01,148.6,15,28.7,78.3
7,2014-08-01,241.0,20,27.7,79.7
8,2014-09-01,83.6,9,28.5,75.6
9,2014-10-01,120.0,10,28.4,77.0
10,2014-11-01,250.8,23,27.5,82.4
11,2014-12-01,245.6,17,27.0,82.6
12,2015-01-01,79.6,6,26.9,77.6
13,2015-02-01,18.8,6,27.0,75.4
14,2015-03-01,84.4,5,28.2,75.8
15,2015-04-01,73.2,13,28.6,77.1
16,2015-05-01,89.0,12,28.7,78.9
17,2015-06-01,95.8,10,29.0,75.8
18,2015-07-01,116.8,13,29.1,74.9
19,2015-08-01,185.8,11,28.4,76.7
20,2015-09-01,61.6,8,28.7,75.0
21,2015-10-01,87.2,9,28.7,75.4
22,2015-11-01,72.6,13,28.0,79.1
23,2015-12-01,302.3,19,27.7,81.1
24,2016-01-01,126.6,15,28.3,79.6
25,2016-02-01,186.0,10,27.8,78.8
26,2016-03-01,6.2,6,29.0,74.7
27,2016-04-01,89.8,14,29.4,75.6
28,2016-05-01,193.8,12,29.3,77.4
29,2016-06-01,162.8,13,28.5,77.7
30,2016-07-01,168.6,20,28.4,77.3
31,2016-08-01,139.2,15,28.9,74.0
32,2016-09-01,118.9,15,28.3,73.9
33,2016-10-01,181.0,16,28.3,72.0
34,2016-11-01,290.2,20,27.4,77.6
35,2016-12-01,292.6,23,27.4,72.8
36,2017-01-01,197.6,21,26.9,84.8
37,2017-02-01,158.4,15,26.9,83.2
38,2017-03-01,136.2,11,27.4,82.5
39,2017-04-01,208.6,21,27.8,83.5
40,2017-05-01,190.0,15,28.5,82.8
41,2017-06-01,106.0,10,28.5,80.2
42,2017-07-01,79.6,9,28.3,79.6
43,2017-08-01,84.2,18,28.1,79.9
44,2017-09-01,124.4,19,28.0,81.0
45,2017-10-01,120.8,18,27.9,82.5
46,2017-11-01,268.6,24,27.1,86.3
47,2017-12-01,371.2,23,27.0,85.2
48,2018-01-01,287.0,25,26.1,86.6
49,2018-02-01,14.8,5,27.2,77.2
50,2018-03-01,44.6,10,28.0,78.4
51,2018-04-01,61.2,14,28.5,78.5
52,2018-05-01,132.2,19,28.7,79.0
53,2018-06-01,182.6,17,28.4,79.3
54,2018-07-01,143.2,10,28.5,77.7
55,2018-08-01,121.6,11,28.5,77.0
56,2018-09-01,144.4,13,28.0,77.1
57,2018-10-01,234.4,18,27.9,79.7
58,2018-11-01,169.6,27,27.3,83.2
59,2018-12-01,172.6,19,27.6,81.5
