date,injuries
2008-01,992
2008-02,790
2008-03,951
2008-04,876
2008-05,867
2008-06,926
2008-07,904
2008-08,954
2008-09,887
2008-10,924
2008-11,807
2008-12,882
2009-01,898
2009-02,853
2009-03,918
2009-04,897
2009-05,927
2009-06,893
2009-07,892
2009-08,966
2009-09,866
2009-10,917
2009-11,941
2009-12,918
2010-01,857
2010-02,854
2010-03,950
2010-04,947
2010-05,1012
2010-06,849
2010-07,1027
2010-08,1055
2010-09,970
2010-10,1040
2010-11,929
2010-12,838
2011-01,956
2011-02,790
2011-03,893
2011-04,883
2011-05,866
2011-06,841
2011-07,914
2011-08,907
2011-09,910
2011-10,927
2011-11,837
2011-12,887
2012-01,855
2012-02,900
2012-03,910
2012-04,829
2012-05,889
2012-06,701
2012-07,899
2012-08,897
2012-09,871
2012-10,847
2012-11,811
2012-12,844
2013-01,858
2013-02,770
2013-03,801
2013-04,832
2013-05,810
2013-06,750
2013-07,814
2013-08,856
2013-09,831
2013-10,870
2013-11,795
2013-12,764
2014-01,801
2014-02,666
2014-03,739
2014-04,790
2014-05,848
2014-06,823
2014-07,893
2014-08,926
2014-09,855
2014-10,877
2014-11,815
2014-12,825
2015-01,827
2015-02,828
2015-03,958
2015-04,811
2015-05,891
2015-06,827
2015-07,892
2015-08,872
2015-09,799
2015-10,873
2015-11,856
2015-12,978
2016-01,895
2016-02,880
2016-03,874
2016-04,851
2016-05,880
2016-06,831
2016-07,947
2016-08,1025
2016-09,844
2016-10,912
2016-11,919
2016-12,829
2017-01,884
2017-02,708
2017-03,838
2017-04,841
2017-05,776
2017-06,802
2017-07,901
2017-08,820
2017-09,801
2017-10,812
2017-11,865
2017-12,905
2018-01,888
2018-02,747
2018-03,865
2018-04,817
2018-05,795
2018-06,851
2018-07,820
2018-08,862
2018-09,795
2018-10,849
2018-11,937
2018-12,792
2019-01,875
2019-02,740
2019-03,743
2019-04,822
2019-05,818
2019-06,819
2019-07,871
2019-08,761
2019-09,802
2019-10,903
2019-11,844
2019-12,835
2020-01,792
2020-02,586
2020-03,615
2020-04,338
2020-05,304
2020-06,422
2020-07,554
2020-08,513
2020-09,579
2020-10,629
2020-11,600
2020-12,737
2021-01,661
2021-02,564
2021-03,642
2021-04,615
2021-05,553
2021-06,576
2021-07,594
2021-08,634
2021-09,654
2021-10,508
2021-11,590
2021-12,649
2022-01,712
2022-02,525
2022-03,566
2022-04,657
2022-05,718
2022-06,663
2022-07,784
2022-08,727
2022-09,722
2022-10,731
2022-11,782
2022-12,854
